AT1G01010	-0.5	0.5	AT1G01010	1
AT1G01020	-0.5	0.5	AT1G01020	2
AT1G01030	-0.5	0.5	AT1G01030	3
AT1G01040	-0.5	0.5	AT1G01040	4
AT1G01046	-0.5	0.5	AT1G01046	5
AT1G01050	-0.5	0.5	AT1G01050	6
AT1G01060	-0.5	0.5	AT1G01060	7
AT1G01070	-0.5	0.5	AT1G01070	8
AT1G01080	-0.5	0.5	AT1G01080	9
AT1G01090	-0.5	0.5	AT1G01090	10
AT1G01100	-0.5	0.5	AT1G01100	11
AT1G01110	-0.5	0.5	AT1G01110	12
AT1G01120	-0.5	0.5	AT1G01120	13
AT1G01130	-0.5	0.5	AT1G01130	14
AT1G01140	-0.5	0.5	AT1G01140	15
AT1G01150	-0.5	0.5	AT1G01150	16
AT1G01160	-0.5	0.5	AT1G01160	17
AT1G01170	-0.5	0.5	AT1G01170	18
AT1G01180	-0.5	0.5	AT1G01180	19
AT1G01183	-0.5	0.5	AT1G01183	20
AT1G01190	-0.5	0.5	AT1G01190	21
AT1G01200	-0.5	0.5	AT1G01200	22
AT1G01210	-0.5	0.5	AT1G01210	23
AT1G01220	-0.5	0.5	AT1G01220	24
AT1G01225	-0.5	0.5	AT1G01225	25
AT1G01230	-0.5	0.5	AT1G01230	26
AT1G01240	-0.5	0.5	AT1G01240	27
AT1G01250	-0.5	0.5	AT1G01250	28
AT1G01260	-0.5	0.5	AT1G01260	29
AT1G01270	-0.5	0.5	AT1G01270	30
AT1G01280	-0.5	0.5	AT1G01280	31
AT1G01290	-0.5	0.5	AT1G01290	32
AT1G01300	-0.5	0.5	AT1G01300	33
AT1G01305	-0.5	0.5	AT1G01305	34
AT1G01310	-0.5	0.5	AT1G01310	35
AT1G01320	-0.5	0.5	AT1G01320	36
AT1G01335	-0.5	0.5	AT1G01335	37
AT1G01340	-0.5	0.5	AT1G01340	38
AT1G01350	-0.5	0.5	AT1G01350	39
AT1G01355	-0.5	0.5	AT1G01355	40
AT1G01360	-0.5	0.5	AT1G01360	41
AT1G01370	-0.5	0.5	AT1G01370	42
AT1G01380	-0.5	0.5	AT1G01380	43
AT1G01390	-0.5	0.5	AT1G01390	44
AT1G01400	-0.5	0.5	AT1G01400	45
AT1G01410	-0.5	0.5	AT1G01410	46
AT1G01420	-0.5	0.5	AT1G01420	47
AT1G01430	-0.5	0.5	AT1G01430	48
AT1G01440	-0.5	0.5	AT1G01440	49
AT1G01448	-0.5	0.5	AT1G01448	50
AT1G01450	-0.5	0.5	AT1G01450	51
AT1G01453	-0.5	0.5	AT1G01453	52
AT1G01460	-0.5	0.5	AT1G01460	53
AT1G01470	-0.5	0.5	AT1G01470	54
AT1G01480	-0.5	0.5	AT1G01480	55
AT1G01490	-0.5	0.5	AT1G01490	56
AT1G01500	-0.5	0.5	AT1G01500	57
AT1G01510	-0.5	0.5	AT1G01510	58
AT1G01520	-0.5	0.5	AT1G01520	59
AT1G01530	-0.5	0.5	AT1G01530	60
AT1G01540	-0.5	0.5	AT1G01540	61
AT1G01550	-0.5	0.5	AT1G01550	62
AT1G01560	-0.5	0.5	AT1G01560	63
AT1G01570	-0.5	0.5	AT1G01570	64
AT1G01580	-0.5	0.5	AT1G01580	65
AT1G01590	-0.5	0.5	AT1G01590	66
AT1G01600	-0.5	0.5	AT1G01600	67
AT1G01610	-0.5	0.5	AT1G01610	68
AT1G01620	-0.5	0.5	AT1G01620	69
AT1G01630	-0.5	0.5	AT1G01630	70
AT1G01640	-0.5	0.5	AT1G01640	71
AT1G01650	-0.5	0.5	AT1G01650	72
AT1G01660	-0.5	0.5	AT1G01660	73
AT1G01670	-0.5	0.5	AT1G01670	74
AT1G01680	-0.5	0.5	AT1G01680	75
AT1G01690	-0.5	0.5	AT1G01690	76
AT1G01695	-0.5	0.5	AT1G01695	77
AT1G01700	-0.5	0.5	AT1G01700	78
AT1G01710	-0.5	0.5	AT1G01710	79
AT1G01715	-0.5	0.5	AT1G01715	80
AT1G01720	-0.5	0.5	AT1G01720	81
AT1G01725	-0.5	0.5	AT1G01725	82
AT1G01730	-0.5	0.5	AT1G01730	83
AT1G01740	-0.5	0.5	AT1G01740	84
